,ForceType,Sex,Race,TypeOfResistance,Neighborhood,Problem,PrimaryOffense
9211,Bodily Force,Male,White,Assaulted Officer,McKinley,Damage Property-In Progress,ASLT2
9212,Bodily Force,Female,Black,Tensed,Downtown West,Suspicious Person ,OBSTRU
9213,Chemical Irritant,Male,Black,Verbal Non-Compliance,Willard - Hay,Domestic Abuse-In Progress ,VDNCO
9214,Taser,Male,White,Verbal Non-Compliance,Windom,Check the Welfare ,CIC
9215,Chemical Irritant,Male,White,Assaulting Police Horse,Downtown West,Suspicious Person ,FLEEFT
9216,Bodily Force,Male,White,Commission of Crime,Folwell,Suspicious Vehicle ,INCEND
9217,Bodily Force,Male,White,Tensed,West Calhoun,Loud Party ,PRIORI
9218,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,OBSTRU
9219,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,RIOT
9220,Bodily Force,Male,White,Tensed,Downtown West,Disturbance ,DISCON
9221,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,FORCE
9222,Bodily Force,Male,Black,Commission of Crime,Near - North,Suspicious Person ,FALSNM
9223,Bodily Force,Male,Black,Fled on Foot,Downtown West,Chase on Foot ,FLEEFT
9224,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,DISCON
9225,Bodily Force,Male,Asian,Verbal Non-Compliance,Downtown West,Disturbance ,OBSTRU
9226,Bodily Force,Male,Black,Assaulted Officer,Downtown West,Disturbance ,OBSTRU
9227,Chemical Irritant,Female,Asian,Commission of Crime,Downtown West,Fight ,OBSTRU
9228,Bodily Force,Male,Black,Commission of Crime,Hawthorne,Suspicious Person ,WEAP
9229,Chemical Irritant,Male,White,Verbal Non-Compliance,Holland,Fight ,FORCE
9230,Bodily Force,Male,Black,Fled on Foot,Willard - Hay,Fight ,OBSTRU
9231,Chemical Irritant,Male,Black,Tensed,Jordan,Unknown Trouble ,FORCE
9232,Bodily Force,Male,Native American,Tensed,East Phillips,Attempt Pick-Up ,WT
9233,Chemical Irritant,Male,Black,Commission of Crime,Central,Burglary Dwlng In Progress ,FORCE
9234,Bodily Force,Male,White,Tensed,Downtown West,Suspicious Person ,OBSTRU
9235,Bodily Force,Male,Other / Mixed Race,Tensed,Corcoran,Unknown Wireless/Cell Phone,DASLT5
9236,Gun Point Display,Male,Other / Mixed Race,Tensed,Corcoran,Unknown Wireless/Cell Phone,DASLT5
9237,Taser,Male,White,Verbal Non-Compliance,Whittier,Check the Welfare ,OBSTRU
9238,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Disturbance ,FORCE
9239,Bodily Force,Male,Black,Assaulted Officer,Ventura Village,Person with a Gun ,ASLT4
9240,Bodily Force,Male,Black,Commission of Crime,Cleveland,Suspicious Person ,OBSTRU
9241,Bodily Force,Male,Black,Assaulted Officer,Downtown West,Disturbance ,ASLT4
9242,Gun Point Display,Male,Black,Fled on Foot,Ventura Village,Burglary Biz - In Progress ,OBSTRU
9243,Chemical Irritant,Female,Black,Unspecified,Folwell,Fight ,DISCON
9244,Bodily Force,Male,Black,Fled on Foot,Near - North,Domestic Abuse-In Progress ,OBSTRU
9245,Bodily Force,Male,Black,Verbal Non-Compliance,Downtown West,Assault in Progress ,DISCON
9246,Taser,Male,Black,Tensed,Downtown West,Suspicious Person ,OBSTRU
9247,Taser,Male,Black,Verbal Non-Compliance,Sumner - Glenwood,Domestic ,OBSTRU
9248,Bodily Force,Male,White,Assaulted Officer,Lyndale,Paramedic Needs Help ,ASLT4
9249,Chemical Irritant,Male,White,Assaulted Officer,Lyndale,Paramedic Needs Help ,ASLT4
9250,Bodily Force,Female,Native American,Assaulted Officer,Ventura Village,Threats ,ASLT4
9251,Bodily Force,Male,Black,Tensed,Downtown West,Theft ,THEFT
9252,Bodily Force,Male,White,Commission of Crime,Folwell,Burglary Dwlng In Progress ,BURGD
9253,Taser,Male,Black,Commission of Crime,Marcy Holmes,Suspicious Person ,FLEEFT
9254,Bodily Force,Male,White,Assaulted Officer,Powderhorn Park,Person with a Gun ,OBSTRU
9255,Bodily Force,Male,White,Assaulted Officer,Powderhorn Park,Person with a Gun ,OBSTRU
9256,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,ASLT5
9257,Taser,Male,White,Assaulted Officer,Bryant,Emotionally Disturb Person ,CIC
9258,Taser,Male,Black,Fled on Foot,Downtown West,Suspicious Person ,CIC
9259,Bodily Force,Male,Black,Fled on Foot,Victory,Chase on Foot ,ROBPAG
9260,Bodily Force,Male,Other / Mixed Race,Commission of Crime,Powderhorn Park,High Risk Warrant Entry ,NARC
9261,Bodily Force,Female,White,Tensed,Powderhorn Park,Assault in Progress ,OBSTRU
9262,Bodily Force,Male,White,Tensed,North Loop,Suspicious Person ,OBSTRU
9263,Bodily Force,Male,Black,Fled on Foot,Jordan,Suspicious Person ,FLEEFT
9264,Chemical Irritant,Male,White,Commission of Crime,Downtown West,Suspicious Person ,DISCON
9265,Bodily Force,Male,Black,Assaulted Officer,Central,Disturbance ,ASLT4
9266,Taser,Male,Black,Verbal Non-Compliance,Downtown West,Suspicious Person ,TRSPAS
9267,Bodily Force,Male,White,Tensed,Longfellow,Suspicious Person ,DISCON
9268,Bodily Force,Male,Other / Mixed Race,Assaulted Officer,Steven's Square - Loring Heights,Disturbance ,OBSTRU
9269,Bodily Force,Male,Black,Commission of Crime,Downtown West,Disturbance ,TRSPAS
9270,Bodily Force,Male,Black,Fled on Foot,Jordan,Unknown Trouble ,DASLT3
9271,Bodily Force,Male,Black,Commission of Crime,Downtown West,Disturbance ,DISCON
9272,Bodily Force,Male,Black,Fled on Foot,Downtown West,Suspicious Person ,OBSTRU
9273,Chemical Irritant,Male,Black,Fled on Foot,Downtown West,Suspicious Person ,OBSTRU
9274,Bodily Force,Male,Asian,Assaulted Officer,Ventura Village,Suspicious Person ,ASLT4
9275,Bodily Force,Male,White,Assaulted Officer,Downtown West,Fight ,OBSTRU
9276,Bodily Force,Male,White,Verbal Non-Compliance,Lowry Hill East,Unknown Trouble ,FENTRY
9277,Chemical Irritant,Female,Black,Commission of Crime,Longfellow,Suspicious Person ,DISCON
9278,Bodily Force,Male,Black,Tensed,Harrison,Domestic Abuse-In Progress ,BURGD
9279,Taser,Male,Black,Unspecified,Sumner - Glenwood,Emotionally Disturb Person ,CIC
9280,Bodily Force,Male,Black,Fled on Foot,Downtown West,Chase on Foot ,DISCON
9281,Bodily Force,Male,Other / Mixed Race,Tensed,Midtown Phillips,Suspicious Vehicle ,WEAP
9282,Bodily Force,Female,White,Assaulted Officer,Downtown West,Suspicious Person ,ASLT5
9283,Bodily Force,Male,White,Assaulted Officer,Elliot Park,Unknown Trouble ,CIC
9284,Bodily Force,Male,White,Tensed,Marcy Holmes,Suspicious Person ,FORCE
9285,Taser,Male,Black,Tensed,Cleveland,Suspicious Person ,TRSPAS
9286,Chemical Irritant,Male,Black,Assaulting Police Horse,Downtown West,Disturbance ,ASLTMP
9287,Bodily Force,Male,White,Tensed,Whittier,Assist EMS Personnel ,OBSTRU
9288,Taser,Male,Black,Fled on Foot,Downtown West,Fight ,FLEEFT
9289,Bodily Force,Male,Black,Unspecified,Willard - Hay,Emotionally Disturb Person ,CIC
9290,Chemical Irritant,Male,Black,Commission of Crime,Cleveland,Burglary Dwlng - Report ,OBSTRU
9291,Taser,Male,Black,Commission of Crime,Downtown West,Theft-Hold One Cooperative ,BURGB
9292,Bodily Force,Male,Black,Tensed,Cleveland,Suspicious Person ,TRSPAS
9293,Bodily Force,Male,Black,Verbal Non-Compliance,Windom Park,Fight ,SHOST
9294,Bodily Force,Male,Black,Fled on Foot,Downtown West,Fight ,FLEEFT
9295,Bodily Force,Male,White,Assaulted Officer,Standish,Domestic ,OBSTRU
9296,Chemical Irritant,Female,Black,Commission of Crime,Downtown West,Assault in Progress ,DISCON
9297,Bodily Force,Male,Black,Tensed,Marshall Terrace,Domestic Abuse-In Progress ,OBSTRU
9298,Chemical Irritant,Male,Black,Tensed,Whittier,Disturbance ,NARC
9299,Chemical Irritant,Male,Black,Tensed,Downtown West,Suspicious Person ,OBSTRU
9300,Bodily Force,Male,Black,Assaulted Officer,Whittier,Robbery of Person ,ROBPAG
9301,Bodily Force,Male,Black,Assaulted Officer,Midtown Phillips,Domestic Abuse-In Progress ,CIC
9302,Bodily Force,Male,Black,Assaulted Officer,Midtown Phillips,Domestic Abuse-In Progress ,CIC
9303,Bodily Force,Male,White,Commission of Crime,Audubon Park,Suspicious Person ,NARC
9304,Bodily Force,Male,Black,Tensed,Downtown West,Miscellaneous ,OBSTRU
9305,Bodily Force,Male,White,Assaulted Officer,Marcy Holmes,Damage Property-In Progress,OBSTRU
9306,Chemical Irritant,Male,White,Verbal Non-Compliance,Downtown West,Disturbance ,FORCE
9307,Bodily Force,Male,Black,Tensed,Hawthorne,Domestic Abuse-In Progress ,DASLT5
9308,Chemical Irritant,Female,Black,Commission of Crime,Folwell,Fight ,DAMMV
9309,Gun Point Display,Male,Black,Unspecified,Elliot Park,Suspicious Person ,THEFT
9310,Taser,Male,Black,Fled on Foot,Lowry Hill East,Person with a Gun ,NARC
9311,Bodily Force,Male,Black,Fled on Foot,Windom Park,Suspicious Person ,CIC
9312,Bodily Force,Male,Black,Fled on Foot,Midtown Phillips,Suspicious Person ,OBSTRU
9313,Gun Point Display,Male,Native American,Verbal Non-Compliance,Powderhorn Park,Miscellaneous ,WT
9314,Improvised Weapon,Male,White,Assaulted Officer,Powderhorn Park,Domestic ,OBSTRU
9315,Bodily Force,Male,White,Commission of Crime,Downtown West,Fight ,OBSTRU
9316,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,THFTSW
9317,Bodily Force,Male,White,Fled on Foot,Near - North,Recover Vehicle ,STOLMV
9318,Bodily Force,Male,Black,Fled on Foot,Downtown West,Curfew Violations ,FLEEFT
9319,Bodily Force,Male,White,Tensed,Lyndale,Suspicious Person ,OBSTRU
9320,Bodily Force,Male,Black,Commission of Crime,Longfellow,Suspicious Person ,SHOPLF
9321,Bodily Force,Male,Black,Fled on Foot,Near - North,Suspicious Vehicle ,MJINMV
9322,Bodily Force,Male,Black,Verbal Non-Compliance,Jordan,Suspicious Person ,WEAP
9323,Police K9 Bite,Male,White,Fled in Vehicle,Phillips West,Suspicious Vehicle ,FLEE
9324,Bodily Force,Male,Black,Tensed,McKinley,Check the Welfare ,OBSTRU
9325,Bodily Force,Male,Black,Tensed,Steven's Square - Loring Heights,Fight ,ASLT5
9326,Taser,Male,Black,Assaulted Officer,Loring Park,Fight ,ASLT4
9327,Bodily Force,Male,Black,Tensed,Marshall Terrace,Domestic Abuse-In Progress ,OBSTRU
9328,Bodily Force,Male,White,Tensed,Lyndale,Traffic Law Enforcement ,DWI
9329,Bodily Force,Male,Black,Commission of Crime,Downtown West,Disturbance ,ASLTMP
9330,Bodily Force,Female,White,Assaulted Officer,Minnehaha,Attempted Suicide ,OBSTRU
9331,Bodily Force,Male,Black,Unspecified,Jordan,Sound of Shots Fired ,DISWEA
9332,Taser,Male,White,Assaulted Officer,Lowry Hill East,Suspicious Person ,ASLT4
9333,Bodily Force,Male,Black,Unspecified,Ventura Village,Suspicious Person ,LOITER
9334,Bodily Force,Male,Black,Fled on Foot,Whittier,Narcotics ,FLEEFT
9335,Chemical Irritant,Male,White,Commission of Crime,Cedar Riverside,Fight ,DISCON
9336,Bodily Force,Male,Black,Tensed,Longfellow,Suspicious Vehicle ,BURGD
9337,Chemical Irritant,Male,Black,Tensed,Cedar Riverside,Walk Through a Building ,DISCON
9338,Taser,Female,White,Assaulting Police Horse,Downtown West,Suspicious Person ,FLEEFT
9339,Taser,Male,Black,Tensed,Holland,Domestic with Weapons ,CIC
9340,Bodily Force,Male,Black,Verbal Non-Compliance,Hawthorne,High Risk Warrant Entry ,NARC
9341,Bodily Force,Male,White,Assaulted Officer,Cedar Riverside,Attempted Suicide ,FORCE
9342,Bodily Force,Male,White,Tensed,Downtown West,Suspicious Person ,ASLT3
9343,Bodily Force,Male,Black,Tensed,Harrison,Domestic Abuse-In Progress ,BURGD
9344,Bodily Force,Male,Native American,Tensed,Elliot Park,Person with a Weapon ,ROBPAG
9345,Bodily Force,Male,Black,Commission of Crime,Willard - Hay,Domestic ,OBSTRU
9346,Bodily Force,Male,Black,Assaulted Officer,Downtown West,Unknown Trouble ,ASLT4
9347,Bodily Force,Male,Other / Mixed Race,Assaulted Officer,Phillips West,On Site ,DISCON
9348,Chemical Irritant,Female,Native American,Verbal Non-Compliance,Bryant,Disturbance ,WEAPKN
9349,Bodily Force,Male,White,Tensed,Marcy Holmes,Damage Property-In Progress,OBSTRU
9350,Taser,Male,Black,Fled on Foot,Ventura Village,Suspicious Person ,POSDPA
9351,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Miscellaneous ,DISCON
9352,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,DISCON
9353,Bodily Force,Female,Black,Tensed,Folwell,Sound of Shots Fired ,ASLT2
9354,Bodily Force,Male,White,Assaulted Officer,Lyndale,Paramedic Needs Help ,ASLT4
9355,Bodily Force,Male,Black,Commission of Crime,Central,Suspicious Person ,NARC
9356,Bodily Force,Female,Black,Tensed,Downtown West,Suspicious Person ,OBSTRU
9357,Bodily Force,Male,White,Fled on Foot,Powderhorn Park,Suspicious Person ,FLEEFT
9358,Bodily Force,Male,Black,Tensed,Ventura Village,Neighbor Trouble ,ASLT5
9359,Bodily Force,Male,White,Tensed,Logan Park,Drunk/Intoxicated Person ,NARC
9360,Bodily Force,Male,White,Assaulted Officer,Powderhorn Park,Person with a Gun ,OBSTRU
9361,Bodily Force,Male,White,Fled on Foot,Lowry Hill East,Officer Needs Help ,DAMMV
9362,Taser,Male,Black,Commission of Crime,Downtown West,Unknown Trouble ,ASLT5
9363,Bodily Force,Male,White,Assaulted Officer,Bryant,Emotionally Disturb Person ,CIC
9364,Bodily Force,Male,White,Tensed,Downtown West,Disturbance ,FORCE
9365,Bodily Force,Male,Black,Unspecified,Lowry Hill East,Theft ,SHOPLF
9366,Bodily Force,Male,Black,Fled on Foot,Jordan,Domestic Abuse-In Progress ,DASLT2
9367,Bodily Force,Male,White,Tensed,North Loop,Suspicious Person ,OBSTRU
9368,Bodily Force,Male,White,Tensed,North Loop,Suspicious Person ,OBSTRU
9369,Taser,Male,White,Commission of Crime,Sheridan,Suspicious Person ,DISCON
9370,Bodily Force,Male,Black,Fled on Foot,Cedar Riverside,Attempt Pick-Up ,FLEEFT
9371,Bodily Force,Male,White,Tensed,Minnehaha,Domestic Abuse-In Progress ,911INT
9372,Bodily Force,Male,Black,Fled on Foot,Jordan,Suspicious Vehicle ,OBSTRU
9373,Bodily Force,Male,White,Tensed,North Loop,Assault in Progress ,ASLT5
9374,Bodily Force,Male,Black,Tensed,Jordan,Fight ,FLEEFT
9375,Bodily Force,Male,Black,Assaulted Officer,Downtown West,Fight ,ASLT4
9376,Bodily Force,Male,Black,Fled on Foot,Jordan,Unknown Trouble ,DASLT3
9377,Chemical Irritant,Male,White,Commission of Crime,Downtown West,Fight ,FORCE
9378,Bodily Force,Male,Black,Fled on Foot,Downtown West,Suspicious Person ,OBSTRU
9379,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,OBSTRU
9380,Bodily Force,Male,Other / Mixed Race,Commission of Crime,King Field,High Risk Warrant Entry ,NARC
9381,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,FORCE
9382,Bodily Force,Male,White,Verbal Non-Compliance,Downtown West,Suspicious Person ,INTPED
9383,Chemical Irritant,Female,Black,Verbal Non-Compliance,Loring Park,Assault in Progress ,DISCON
9384,Taser,Male,Black,Commission of Crime,Loring Park,Robbery of Person ,TFPER
9385,Bodily Force,Male,Black,Tensed,Jordan,Suspicious Vehicle ,NARC
9386,Bodily Force,Male,Black,Tensed,Ericsson,Burglary Dwlng In Progress ,PARTY
9387,Bodily Force,Male,Black,Verbal Non-Compliance,Downtown East,Suspicious Person ,BURGB
9388,Chemical Irritant,Female,Black,Tensed,Hawthorne,Suspicious Person ,DISCON
9389,Bodily Force,Male,White,Commission of Crime,Harrison,Poss Personal Injury Acc ,DWI
9390,Bodily Force,Male,White,Verbal Non-Compliance,Downtown West,Suspicious Person ,DISCON
9391,Bodily Force,Male,White,Commission of Crime,Lowry Hill East,Damage Property-In Progress,DASLT5
9392,Bodily Force,Female,Black,Fled on Foot,Lyndale,Domestic ,WT
9393,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Disturbance ,DISCON
9394,Chemical Irritant,Male,Black,Verbal Non-Compliance,Steven's Square - Loring Heights,Assault in Progress ,DISCON
9395,Bodily Force,Male,White,Assaulted Officer,Elliot Park,Unknown Trouble ,CIC
9396,Taser,Male,Black,Verbal Non-Compliance,Cleveland,Unknown Trouble ,CIC
9397,Bodily Force,Male,White,Tensed,Marcy Holmes,Suspicious Person ,FORCE
9398,Bodily Force,Male,White,Verbal Non-Compliance,Willard - Hay,Person with a Gun ,ASLT2
9399,Bodily Force,Male,White,Tensed,Downtown West,Disturbance ,TRSPAS
9400,Chemical Irritant,not recorded,not recorded,Verbal Non-Compliance,Downtown West,Disturbance ,FORCE
9401,Taser,Male,White,Tensed,Downtown West,Damage Property-In Progress,DAMMV
9402,Chemical Irritant,Male,Black,Verbal Non-Compliance,Loring Park,Fight ,ASLT4
9403,Taser,Male,Black,Fled on Foot,Phillips West,Suspicious Person ,NARC
9404,Bodily Force,Male,Black,Assaulted Officer,Downtown West,Assault in Progress ,OBSTRU
9405,Chemical Irritant,Female,Black,Commission of Crime,Downtown West,Disturbance ,ASLT5
9406,Bodily Force,Male,Other / Mixed Race,Tensed,Loring Park,Robbery of Person ,TFPER
9407,Bodily Force,Male,Black,Assaulted Officer,Midtown Phillips,Domestic Abuse-In Progress ,CIC
9408,Bodily Force,Female,Black,Verbal Non-Compliance,Downtown West,Assist EMS Personnel ,OBSTRU
9409,Bodily Force,Male,Native American,Fled on Foot,Longfellow,Check the Welfare ,DASLT5
9410,Bodily Force,Male,Black,Unspecified,Jordan,High Risk Warrant Entry ,NARC
9411,Improvised Weapon,Male,White,Tensed,Marcy Holmes,Damage Property-In Progress,OBSTRU
9412,Bodily Force,Male,Black,Tensed,Hawthorne,Domestic Abuse-In Progress ,DASLT5
9413,Bodily Force,Male,White,Tensed,Elliot Park,Suspicious Person ,DISCON
9414,Gun Point Display,Male,Black,Fled on Foot,Hawthorne,Person with a Gun ,WEAP
9415,Chemical Irritant,Female,Black,Unspecified,Downtown West,Miscellaneous ,FORCE
9416,Bodily Force,Male,Black,Fled on Foot,Windom Park,Suspicious Person ,CIC
9417,Bodily Force,Male,Black,Fled on Foot,Midtown Phillips,Suspicious Person ,OBSTRU
9418,Bodily Force,Male,Black,Assaulted Officer,North Loop,Officer Needs Help ,ASLT4
9419,Taser,Male,Black,Tensed,Willard - Hay,Suspicious Person ,OBSTRU
9420,Bodily Force,Male,Other / Mixed Race,Tensed,Central,Property Damage/Hit & Run ,HRNI
9421,Chemical Irritant,Male,Black,Commission of Crime,North Loop,Fight ,ASLT2
9422,Bodily Force,Female,Black,Verbal Non-Compliance,Powderhorn Park,Traffic Law Enforcement ,OBSTRU
9423,Improvised Weapon,Male,Black,Fled on Foot,Ventura Village,Unknown Trouble ,DASTR
9424,Bodily Force,Male,Black,Tensed,Downtown West,Suspicious Person ,DISCON
9425,Taser,Male,Unknown,Tensed,Harrison,Fight ,DAMPRP
9426,Bodily Force,Male,Black,Commission of Crime,Longfellow,Suspicious Person ,SHOPLF
9427,Bodily Force,Male,Black,Commission of Crime,Ventura Village,Domestic Abuse-In Progress ,DASTR
9428,Bodily Force,Male,Black,Commission of Crime,Webber - Camden,Domestic Abuse-In Progress ,OFPEN
9429,Taser,Male,Black,Fled on Foot,Hawthorne,Damage Property-In Progress,OBSTRU
9430,Bodily Force,Male,Black,Fled on Foot,Downtown West,Fight ,FLEEFT
9431,Bodily Force,Male,Black,Assaulted Officer,Loring Park,Fight ,ASLT4
9432,Bodily Force,Male,Black,Tensed,Marshall Terrace,Domestic Abuse-In Progress ,OBSTRU
9433,Bodily Force,Male,Black,Tensed,Loring Park,Traffic Law Enforcement ,WEAPKN
9434,Taser,Female,Black,Commission of Crime,Downtown West,Suspicious Person ,TLE
9436,Bodily Force,Male,Black,Fled on Foot,Downtown West,On Site ,AOA
9437,Bodily Force,Male,Native American,Tensed,Ventura Village,Suspicious Person ,DISCON
9438,Bodily Force,Female,Black,Assaulted Officer,Tangletown,Traffic Law Enforcement ,ASLT4
9439,Taser,Male,Black,Fled on Foot,Downtown West,Disturbance ,FLEEFT
9440,Bodily Force,Male,Black,Commission of Crime,Hawthorne,Disturbance ,OBSTRU
9441,Bodily Force,Male,Black,Assaulted Officer,Downtown West,Suspicious Person ,ASLT4
9442,Gun Point Display,Male,White,Commission of Crime,Folwell,Burglary Dwlng In Progress ,BURGD
9443,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,LOITER
9444,Chemical Irritant,Male,Black,Tensed,Downtown West,Miscellaneous ,FORCE
9445,Bodily Force,Male,Black,Fled on Foot,Jordan,Suspicious Vehicle ,FORCE
9446,Bodily Force,Male,Black,Tensed,Elliot Park,Emotionally Disturb Person ,CIC
9447,Gun Point Display,Male,Black,Fled on Foot,Downtown West,Chase on Foot ,FLEEFT
9448,Bodily Force,Male,Black,Tensed,Harrison,Domestic Abuse-In Progress ,BURGD
9449,Bodily Force,Male,Native American,Tensed,Elliot Park,Person with a Weapon ,ROBPAG
9450,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,OBSTRU
9451,Bodily Force,Male,Black,Tensed,Jordan,Suspicious Vehicle ,NARC
9452,Bodily Force,Male,White,Commission of Crime,Lowry Hill East,Unknown Trouble ,OBSTRU
