,ForceType,Sex,Race,TypeOfResistance,Problem_Group,CenterLongitude,CenterLatitude
29058,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.269002,44.945821
29059,Bodily Force,Female,Black,assaulting police officer or animal,Suspicious & Disorder,-93.277198,44.959194
29060,Bodily Force,Male,White,tensed,Welfare & Emergency,-93.293351,44.999153
29061,Bodily Force,Male,Black,tensed,Violent,-93.307583,45.007822
29062,Bodily Force,Male,other,assaulting police officer or animal,Welfare & Emergency,-93.287968,44.962973
29063,Chemical Irritant,Male,other,tensed,Violent,-93.272499,44.979626
29064,Chemical Irritant,Female,Black,commission of crime,Violent,-93.301911,45.014106
29065,Bodily Force,Male,Native American,tensed,Property & Vehicle,-93.304206,44.894304
29066,Bodily Force,Female,Black,fled,Violent,-93.27276,44.965747
29067,Bodily Force,Female,Native American,tensed,Welfare & Emergency,-93.289364,44.949203
29068,Bodily Force,Female,Black,tensed,Property & Vehicle,-93.247366,45.006421
29069,Bodily Force,Male,Black,fled,Property & Vehicle,-93.303814,45.015022
29070,Less Lethal Weapons,Male,Black,tensed,Domestic,-93.283417,45.001485
29071,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.283902,44.979874
29072,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.301961,44.989335
29073,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.278197,44.976944
29074,Bodily Force,Male,Black,assaulting police officer or animal,Suspicious & Disorder,-93.274284,44.979986
29075,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.270462,44.973518
29076,Bodily Force,Male,White,fled,Suspicious & Disorder,-93.308259,45.017756
29077,Less Lethal Weapons,Male,White,assaulting police officer or animal,Domestic,-93.308265,45.01956
29078,Bodily Force,Female,Black,commission of crime,Domestic,-93.306742,45.044841
29079,Bodily Force,Male,other,other/unspecified,Suspicious & Disorder,-93.236855,44.94837
29080,Chemical Irritant,Female,Black,verbal non-compliance,Suspicious & Disorder,-93.273116,44.981648
29081,Bodily Force,Male,Black,assaulting police officer or animal,Suspicious & Disorder,-93.272529,44.978331
29082,Guns,Male,White,commission of crime,Welfare & Emergency,-93.26317,44.93776
29083,Chemical Irritant,Male,Black,commission of crime,Suspicious & Disorder,-93.291441,45.039376
29084,Less Lethal Weapons,Male,Black,fled,Property & Vehicle,-93.257578,44.949226
29085,Bodily Force,Male,other,tensed,Property & Vehicle,-93.239098,44.930514
29086,Chemical Irritant,Female,Black,other/unspecified,Suspicious & Disorder,-93.271883,44.980065
29087,Bodily Force,Male,Black,tensed,Domestic,-93.312064,45.010538
29088,Less Lethal Weapons,Male,White,commission of crime,Violent,-93.228695,44.974179
29089,Bodily Force,Male,White,fled,Property & Vehicle,-93.255022,44.951006
29090,Chemical Irritant,Male,Black,commission of crime,Violent,-93.273109,44.979187
29091,Less Lethal Weapons,Male,Black,tensed,Domestic,-93.305707,45.012325
29092,Bodily Force,Male,White,tensed,Welfare & Emergency,-93.305457,44.948828
29093,Guns,Male,Black,tensed,Violent,-93.295674,45.026704
29094,Bodily Force,Male,Black,assaulting police officer or animal,Suspicious & Disorder,-93.277813,44.963327
29095,Less Lethal Weapons,Male,White,fled,Suspicious & Disorder,-93.273422,44.975433
29096,Bodily Force,Male,Black,fled,Welfare & Emergency,-93.26259,44.956428
29097,Bodily Force,Female,White,tensed,Welfare & Emergency,-93.278973,44.966375
29098,Bodily Force,Male,Black,assaulting police officer or animal,Property & Vehicle,-93.288303,44.982699
29099,Chemical Irritant,Male,Black,commission of crime,Violent,-93.273141,44.980808
29100,Guns,Male,Black,other/unspecified,Welfare & Emergency,-93.299444,44.979667
29101,Bodily Force,Male,White,verbal non-compliance,Suspicious & Disorder,-93.277813,44.963327
29102,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.247247,45.030322
29103,Chemical Irritant,Male,other,tensed,Suspicious & Disorder,-93.273166,44.979968
29104,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.294112,44.996865
29105,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.287989,44.999685
29106,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.26584,44.97352
29107,Bodily Force,Female,other,commission of crime,Welfare & Emergency,-93.312087,44.989095
29108,Bodily Force,Female,Black,assaulting police officer or animal,Welfare & Emergency,-93.302827,45.00278
29109,Bodily Force,Male,Black,assaulting police officer or animal,Property & Vehicle,-93.277303,44.948356
29110,Guns,Male,Black,commission of crime,Violent,-93.261862,44.934148
29111,Bodily Force,Male,Native American,tensed,Violent,-93.24458,44.956503
29112,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.3083,44.984412
29113,Less Lethal Weapons,Male,Black,fled,Property & Vehicle,-93.303157,45.006897
29114,Less Lethal Weapons,Male,Black,verbal non-compliance,Violent,-93.233184,44.947791
29115,Chemical Irritant,Male,Black,commission of crime,Violent,-93.273116,44.981648
29116,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.279496,44.98431
29117,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.318436,45.000823
29118,Bodily Force,Female,Black,tensed,Welfare & Emergency,-93.300044,45.02402
29119,Bodily Force,Male,other,tensed,Property & Vehicle,-93.217088,44.995179
29120,Bodily Force,Unknown,other,tensed,Suspicious & Disorder,-93.275347,44.977582
29121,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.314617,45.010538
29122,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.251092,44.961813
29123,Bodily Force,Male,other,verbal non-compliance,Welfare & Emergency,-93.259409,44.919708
29124,Bodily Force,Male,Black,commission of crime,Welfare & Emergency,-93.30063,45.008668
29125,Bodily Force,Male,Black,tensed,Violent,-93.29411,45.002053
29126,Bodily Force,Male,other,verbal non-compliance,Welfare & Emergency,-93.29258,45.005376
29127,Bodily Force,Male,White,tensed,Welfare & Emergency,-93.301983,44.980867
29128,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.278197,44.976944
29129,Bodily Force,Female,Black,verbal non-compliance,Welfare & Emergency,-93.310981,45.028611
29130,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.310774,44.999692
29131,Bodily Force,Male,White,assaulting police officer or animal,Property & Vehicle,-93.283669,44.944736
29132,Bodily Force,Male,Black,other/unspecified,Domestic,-93.279659,44.952843
29133,Bodily Force,Male,other,tensed,Violent,-93.290013,44.948364
29134,Bodily Force,Male,White,assaulting police officer or animal,Violent,-93.263938,44.971401
29135,Bodily Force,Male,Native American,fled,Domestic,-93.254983,44.997801
29136,Bodily Force,Male,Black,tensed,Violent,-93.273141,44.980808
29137,Chemical Irritant,Male,Black,commission of crime,Suspicious & Disorder,-93.271883,44.980065
29138,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.24229,44.940433
29139,Bodily Force,Female,Black,commission of crime,Violent,-93.247259,44.967175
29140,Chemical Irritant,Male,Black,commission of crime,Suspicious & Disorder,-93.273116,44.981648
29141,Bodily Force,Female,other,tensed,Domestic,-93.298111,45.012271
29142,Chemical Irritant,Female,other,commission of crime,Violent,-93.271883,44.980065
29143,Bodily Force,Female,Black,commission of crime,Welfare & Emergency,-93.258601,44.977723
29144,Bodily Force,Female,Black,fled,Suspicious & Disorder,-93.293832,44.948361
29145,Bodily Force,Male,Native American,commission of crime,Welfare & Emergency,-93.251777,44.957333
29146,Bodily Force,Male,White,tensed,Violent,-93.275347,44.977582
29147,Chemical Irritant,Male,Black,commission of crime,Suspicious & Disorder,-93.274284,44.979986
29148,Chemical Irritant,Female,other,verbal non-compliance,Suspicious & Disorder,-93.271883,44.980065
29149,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.27023,44.979295
29150,Bodily Force,Male,White,assaulting police officer or animal,Violent,-93.257126,44.971782
29151,Bodily Force,Male,Black,fled,Violent,-93.293698,45.013131
29152,Bodily Force,Male,Black,tensed,Property & Vehicle,-93.308208,45.005572
29153,Chemical Irritant,Male,Black,tensed,Welfare & Emergency,-93.287989,44.999685
29154,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.257126,44.971782
29155,Bodily Force,Male,Black,assaulting police officer or animal,Welfare & Emergency,-93.228692,44.973099
29156,Bodily Force,Female,White,assaulting police officer or animal,Suspicious & Disorder,-93.298274,44.949609
29157,Bodily Force,Male,Black,assaulting police officer or animal,Domestic,-93.279645,44.954638
29158,Bodily Force,Male,other,fled,Property & Vehicle,-93.298274,44.949609
29159,Bodily Force,Male,other,verbal non-compliance,Domestic,-93.249955,44.947461
29160,Bodily Force,Male,White,fled,Welfare & Emergency,-93.292906,44.960917
29161,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.269002,44.945821
29162,Bodily Force,Male,White,tensed,Violent,-93.257934,44.893414
29163,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.277025,44.978019
29164,Bodily Force,Female,Black,assaulting police officer or animal,Violent,-93.265034,44.977764
29165,Bodily Force,Male,Black,commission of crime,Property & Vehicle,-93.277816,44.967891
29166,Bodily Force,Female,White,tensed,Violent,-93.278819,44.978407
29167,Chemical Irritant,Male,other,verbal non-compliance,Violent,-93.272499,44.979626
29168,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.284942,45.000862
29169,Bodily Force,Male,Black,fled,Property & Vehicle,-93.263161,45.016326
29170,Chemical Irritant,Male,Black,fled,Violent,-93.271954,44.982469
29171,Chemical Irritant,Female,Black,commission of crime,Violent,-93.271954,44.982469
29172,Chemical Irritant,Male,White,verbal non-compliance,Suspicious & Disorder,-93.272499,44.979626
29173,Chemical Irritant,Male,Black,commission of crime,Suspicious & Disorder,-93.274284,44.979986
29174,Chemical Irritant,Male,other,other/unspecified,Suspicious & Disorder,-93.270949,44.948353
29175,Bodily Force,Male,Black,commission of crime,Property & Vehicle,-93.27736,44.976774
29176,Bodily Force,Male,Black,fled,Violent,-93.307607,45.01325
29177,Less Lethal Weapons,Male,White,tensed,Suspicious & Disorder,-93.278197,44.976944
29178,Bodily Force,Male,Black,other/unspecified,Suspicious & Disorder,-93.266366,44.922427
29179,Bodily Force,Female,Black,verbal non-compliance,Suspicious & Disorder,-93.25755,44.952387
29180,Bodily Force,Male,White,assaulting police officer or animal,Domestic,-93.308265,45.01956
29181,Bodily Force,Female,Black,commission of crime,Domestic,-93.306742,45.044841
29182,Bodily Force,Male,Black,commission of crime,Property & Vehicle,-93.274296,44.980781
29183,Chemical Irritant,Male,Black,verbal non-compliance,Violent,-93.298279,44.948811
29184,Chemical Irritant,Female,Black,verbal non-compliance,Suspicious & Disorder,-93.273116,44.981648
29185,Bodily Force,Male,White,verbal non-compliance,Violent,-93.24865,44.952851
29186,Bodily Force,Male,Black,verbal non-compliance,Domestic,-93.294112,45.005383
29187,Bodily Force,Male,White,commission of crime,Domestic,-93.31408,44.977163
29188,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.278819,44.978407
29189,Bodily Force,Male,Black,commission of crime,Violent,-93.285621,44.938602
29190,Bodily Force,Male,Black,tensed,Domestic,-93.312064,45.010538
29192,Chemical Irritant,Female,Black,verbal non-compliance,Welfare & Emergency,-93.271883,44.980065
29193,Bodily Force,Male,White,other/unspecified,Welfare & Emergency,-93.24732,44.926032
29194,Bodily Force,Male,White,tensed,Domestic,-93.327813,44.923601
29195,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.293085,44.960916
29196,Bodily Force,Male,Black,tensed,Violent,-93.295674,45.026704
29197,Chemical Irritant,Male,White,commission of crime,Violent,-93.274296,44.980781
29198,Less Lethal Weapons,Male,White,fled,Suspicious & Disorder,-93.273422,44.975433
29199,Bodily Force,Male,Black,verbal non-compliance,Welfare & Emergency,-93.289278,44.972502
29200,Bodily Force,Male,Black,tensed,Violent,-93.290523,45.007729
29201,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.276326,44.978794
29202,Bodily Force,Female,Black,other/unspecified,Domestic,-93.269713,44.960654
29203,Chemical Irritant,Female,Black,commission of crime,Violent,-93.269689,44.982469
29204,Bodily Force,Male,Black,tensed,Violent,-93.303153,45.005551
29205,Less Lethal Weapons,Male,Black,fled,Property & Vehicle,-93.268802,45.022295
29206,Bodily Force,Male,Native American,assaulting police officer or animal,Violent,-93.216469,44.909906
29207,Bodily Force,Female,White,tensed,Suspicious & Disorder,-93.25503,44.945197
29208,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.294112,44.996865
29209,Less Lethal Weapons,Male,White,commission of crime,Violent,-93.31572,44.962714
29210,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.272499,44.979626
29211,Chemical Irritant,Male,Black,tensed,Suspicious & Disorder,-93.274284,44.979986
29212,Chemical Irritant,Male,Black,commission of crime,Violent,-93.273109,44.979187
29213,Bodily Force,Male,Black,assaulting police officer or animal,Property & Vehicle,-93.277303,44.948356
29214,Chemical Irritant,Male,Black,verbal non-compliance,Violent,-93.297004,44.948812
29215,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.271883,44.980065
29216,Bodily Force,Male,White,fled,Suspicious & Disorder,-93.27463,44.950163
29217,Bodily Force,Male,Black,tensed,Violent,-93.276738,44.971539
29218,Bodily Force,Male,Black,fled,Property & Vehicle,-93.303157,45.006897
29219,Chemical Irritant,Female,Black,commission of crime,Violent,-93.281529,44.978929
29220,Chemical Irritant,Male,Black,verbal non-compliance,Violent,-93.273141,44.980808
29221,Bodily Force,Male,Black,other/unspecified,Violent,-93.296378,44.948367
29222,Bodily Force,Male,Black,other/unspecified,Suspicious & Disorder,-93.275347,44.977582
29223,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.267659,44.967167
29224,Bodily Force,Male,Black,verbal non-compliance,Domestic,-93.277816,44.967891
29225,Bodily Force,Male,White,assaulting police officer or animal,Suspicious & Disorder,-93.272425,44.986156
29226,Bodily Force,Female,White,verbal non-compliance,Violent,-93.292554,44.948362
29227,Bodily Force,Female,White,assaulting police officer or animal,Property & Vehicle,-93.308236,45.012352
29228,Bodily Force,Male,Black,tensed,Violent,-93.288006,44.961808
29229,Bodily Force,Male,Black,fled,Domestic,-93.298303,44.994151
29230,Bodily Force,Male,White,verbal non-compliance,Violent,-93.26393,44.947512
29231,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.292582,44.996863
29232,Chemical Irritant,Female,Black,commission of crime,Violent,-93.274773,44.982827
29233,Bodily Force,Male,White,tensed,Welfare & Emergency,-93.301983,44.980867
29234,Bodily Force,Female,other,tensed,Welfare & Emergency,-93.275298,44.986505
29235,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.308265,45.01956
29236,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.283373,45.010112
29237,Bodily Force,Male,Black,commission of crime,Domestic,-93.28299,44.951344
29238,Bodily Force,Female,Black,tensed,Suspicious & Disorder,-93.293085,44.960916
29239,Bodily Force,Male,White,commission of crime,Violent,-93.262036,44.949366
29240,Bodily Force,Male,White,assaulting police officer or animal,Violent,-93.263938,44.971401
29241,Bodily Force,Female,Black,tensed,Property & Vehicle,-93.277276,44.937734
29242,Bodily Force,Male,Black,fled,Violent,-93.246769,44.948371
29243,Less Lethal Weapons,Male,Black,fled,Property & Vehicle,-93.224185,44.898706
29244,Chemical Irritant,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.272499,44.979626
29245,Bodily Force,Male,Black,assaulting police officer or animal,Suspicious & Disorder,-93.277816,44.969381
29246,Less Lethal Weapons,Female,White,tensed,Suspicious & Disorder,-93.278819,44.978407
29247,Chemical Irritant,Male,Black,other/unspecified,Suspicious & Disorder,-93.302495,45.035449
29248,Chemical Irritant,Female,Black,commission of crime,Violent,-93.296528,44.955913
29249,Bodily Force,Male,other,assaulting police officer or animal,Violent,-93.272104,44.97487
29250,Bodily Force,Female,Native American,tensed,Welfare & Emergency,-93.289322,44.954644
29251,Bodily Force,Male,Black,tensed,Property & Vehicle,-93.275923,44.959198
29252,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.277816,44.969381
29253,Bodily Force,Male,Black,tensed,Domestic,-93.287314,45.039429
